"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78752 (86000US78752),,,,ZCTA5 78752 (86000US78752),,,,ZCTA5 78752 (86000US78752),,,,ZCTA5 78752 (86000US78752),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78752,,,Subject,ZCTA5 78752,,,Subject,ZCTA5 78752,,,Subject,ZCTA5 78752,,
,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct
D1. AGE,,,,E1. HOUSEHOLD INCOME AND BENEFITS,,,,S1. HOUSEHOLDS BY TYPE,,,,H1. HOUSING OCCUPANCY AND TENURE,,,
Universe: Total population,,,,Universe: Total households,,,,Universe: Total households,,,,Universe: Housing units,,,
Total population,20302,+/- 1360,,Total households,7932,+/- 331,,Total households,7932,+/- 331,,Total housing units,8720,+/- 289,
  Under 5 years,1663,+/- 362,8.2,"  Less than $10,000",741,+/- 198,9.3,  Family households,3836,+/- 286,48.4,  Occupied housing units,7932,+/- 331,91
  5 to 9 years,1680,+/- 333,8.3,"  $10,000 to $14,999",513,+/- 161,6.5,    With own children under 18 years,2061,+/- 286,26,    Owner-occupied,2165,+/- 240,27.3
  10 to 14 years,1142,+/- 308,5.6,"  $15,000 to $24,999",1122,+/- 239,14.1,    Married-couple families,2335,+/- 274,29.4,    Renter-occupied,5767,+/- 358,72.7
  15 to 19 years,862,+/- 247,4.2,"  $25,000 to $34,999",1001,+/- 243,12.6,      With own children under 18 years,1359,+/- 229,17.1,    Average household size of owner-occupied unit,2.91,+/- 0.57,
  20 to 24 years,1349,+/- 264,6.6,"  $35,000 to $49,999",1197,+/- 246,15.1,"    Male householder, no wife present",464,+/- 176,5.8,    Average household size of renter-occupied unit,2.42,+/- 0.29,
  25 to 34 years,5847,+/- 674,28.8,"  $50,000 to $74,999",1426,+/- 298,18,      With own children under 18 years,106,+/- 62,1.3,  Vacant housing units,788,+/- 228,9
  35 to 44 years,2909,+/- 434,14.3,"  $75,000 to $99,999",713,+/- 189,9,"    Female householder, no husband present",1037,+/- 260,13.1,    For sale,50,+/- 49,6.3
  45 to 54 years,1893,+/- 352,9.3,"  $100,000 to $149,999",751,+/- 190,9.5,      With own children under 18 years,596,+/- 160,7.5,    For rent,265,+/- 138,33.6
  55 to 59 years,1073,+/- 240,5.3,"  $150,000 to $199,999",267,+/- 117,3.4,  Nonfamily households,4096,+/- 363,51.6,"    For seasonal, recreational, or occasional use",132,+/- 100,16.8
  60 to 64 years,722,+/- 254,3.6,"  $200,000 or more",201,+/- 131,2.5,    Householder living alone,3091,+/- 2259,75.5,Total owner units,2215,+/- 245,
  65 to 74 years,730,+/- 193,3.6,  With earnings,6971,+/- 352,87.9,      65 years and over living alone,457,+/- 323,11.2,Homeowner vacancy rate,2.3,+/- 2,
  75 to 84 years,314,+/- 100,1.5,  With social security,1273,+/- 209,16,  Households with one or more people under 18 years,2182,+/- 254,27.5,Total rental units,6032,+/- 384,
  85 years and over,118,+/- 73,0.6,  With retirement income,495,+/- 128,6.2,  Households with one or more people 65 years and over,947,+/- 164,11.9,Rental vacancy rate,4.4,+/- 2,
Median age in years,30.4,+/- 0.8,,  With supplemental security income,150,+/- 82,1.9,Average household size,2.56,+/- 0.13,,People living in owned homes,6294,+/- 1015,31
  5 years and over,-,,,  With cash public assistance income,50,+/- 46,0.6,Average family size,3.68,+/- 0.34,,People living in rental homes,13981,+/- 1434,68.9
  15 years and over,15817,+/- 1013,77.9,  With food stamp benefits in the past 12 months,1346,+/- 242,17,S2. PERSONS BY HOUSEHOLD TYPE / GROUP QUARTERS,,,,H2. UNITS IN STRUCTURE,,,
  Under 18 years of age,5012,+/- 613,24.7,Median household income,41486,+/- 3753,,Universe: Total population,,,,Universe: Housing units,,,
  18 years and over,15290,+/- 1016,75.3,Mean household income,58935,+/- 6245,,Total population,20302,+/- 1360,,Total housing units,8720,+/- 289,
  21 years and over,14758,+/- 1000,72.7,Mean household earnings,61334,+/- 6870,,  Household population,20275,+/- 1360,99.9,  Single-family units,3137,+/- 320,36
  25 years and over,13606,+/- 970,67,Mean household social security income,13217,,,    Living in family households,14461,+/- 1271,71.3,"    Single unit, detached",2525,+/- 246,80.5
  62 years and over,1718,+/- 333,8.5,Mean household retirement income,21564,+/- 6424,,    Living in nonfamily households,5814,+/- 722,28.7,"    Single unit, attached",612,+/- 204,19.5
  65 years and over,1162,+/- 207,5.7,Mean household supplemental security income,9501,+/- 1900,,      Living alone,3091,+/- 2259,75.5,  Duplexes,435,+/- 151,5
D2. AGE AND SEX,,,,Mean household cash public assistance income,1748,+/- 257,,  Living in group quarters,27,+/- 15,0.1,  3 or 4 units,490,+/- 159,5.6
Universe: Total population,,,,E2. FAMILY INCOME AND BENEFITS,,,,S3. RELATIONSHIP,,,,  5 to 9 units,1200,+/- 246,13.8
Total population,20302,+/- 1360,,Universe: Family households,,,,Universe: Household population,,,,  10 to 19 units,1148,+/- 236,13.2
  Male,11468,+/- 958,56.5,Family households,3836,+/- 286,48.4,Household population,20275,+/- 1360,99.9,  20 or more units,2310,+/- 313,26.5
    18 years old and over,8640,+/- 750,75.3,"  Less than $10,000",169,+/- 98,4.4,  Householder,7932,+/- 462,39.1,  Mobile home,-,,
    65 years old and over,508,+/- 143,4.4,"  $10,000 to $14,999",219,+/- 110,5.7,  Spouse,2325,+/- 271,11.5,"  Boat, RV, van, etc.",-,,
  Female,8834,+/- 683,43.5,"  $15,000 to $24,999",567,+/- 177,14.8,  Child,6263,+/- 785,30.9,  Mobile homes per 1000 HUs,-,,
    18 years old and over,6650,+/- 486,75.3,"  $25,000 to $34,999",353,+/- 152,9.2,  Other relatives,1704,+/- 471,8.4,H3. YEAR STRUCTURE BUILT,,,
    65 years old and over,654,+/- 180,7.4,"  $35,000 to $49,999",598,+/- 192,15.6,  Nonrelatives,2051,+/- 514,10.1,Universe: Housing units,,,
D3. RACE,,,,"  $50,000 to $74,999",784,+/- 221,20.4,  Unmarried partner,634,+/- 155,3.1,Total housing units,8720,+/- 289,
Universe: Total population,,,,"  $75,000 to $99,999",423,+/- 154,11,  Unmarried-partner HHs per 1000,80,+/- 20,,  Built 2010 or later,371,+/- 153,4.3
Total population,20302,+/- 1360,,"  $100,000 to $149,999",328,+/- 115,8.6,S4. MARITAL STATUS,,,,  Built 2000 to 2009,772,+/- 241,8.9
  One race,19871,+/- 1785,97.9,"  $150,000 to $199,999",220,+/- 107,5.7,Universe: Population 15 years and over,,,,  Built 1990 to 1999,848,+/- 180,9.7
    White alone,12808,+/- 1254,63.1,"  $200,000 or more",175,+/- 125,4.6,Persons 15 years and over,15817,+/- 1013,,  Built 1980 to 1989,2184,+/- 303,25
    Black or African American,1779,+/- 485,8.8,Median family income,50224,+/- 6945,,  Never married,7543,+/- 819,47.7,  Built 1970 to 1979,2018,+/- 293,23.1
    American Indian and Alaska Native,188,+/- 230,0.9,Mean family income,71673,+/- 11390,,"  Now married, except separated",5144,+/- 444,32.5,  Built 1960 to 1969,1369,+/- 237,15.7
    Asian,365,+/- 181,1.8,E3. OTHER INCOME MEASURES,,,,  Separated,518,+/- 197,3.3,  Built 1950 to 1959,969,+/- 179,11.1
    Native Hawaiian and Other Pacific Islander,-,,,Universe: Various,,,,  Widowed,564,+/- 202,3.6,  Built 1940 to 1949,189,+/- 130,2.2
    Some other race,4731,+/- 1137,23.3,Per-capita income,24519,+/- 2502,,"  Divorced, and not currently married",2048,+/- 411,12.9,  Built 1939 or earlier,-,,
  Two or more races,431,+/- 268,2.1,Nonfamily households,4096,+/- 363,51.6,S5. FERTILITY,,,,H4. YEAR HOUSEHOLDER MOVED INTO UNIT,,,
  White (alone or in combination),13216,+/- 1297,65.1,  Median nonfamily income,32474,+/- 3977,,Universe: Women 15 to 50 years old who gave birth in the past 12 months,,,,Universe: Occupied housing units,,,
