"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78748 (86000US78748),,,,ZCTA5 78748 (86000US78748),,,,ZCTA5 78748 (86000US78748),,,,ZCTA5 78748 (86000US78748),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78748,,,Subject,ZCTA5 78748,,,Subject,ZCTA5 78748,,,Subject,ZCTA5 78748,,
,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct
D1. AGE,,,,E1. HOUSEHOLD INCOME AND BENEFITS,,,,S1. HOUSEHOLDS BY TYPE,,,,H1. HOUSING OCCUPANCY AND TENURE,,,
Universe: Total population,,,,Universe: Total households,,,,Universe: Total households,,,,Universe: Housing units,,,
Total population,49142,+/- 1591,,Total households,18820,+/- 371,,Total households,18820,+/- 371,,Total housing units,19577,+/- 300,
  Under 5 years,3611,+/- 539,7.3,"  Less than $10,000",899,+/- 208,4.8,  Family households,11531,+/- 542,61.3,  Occupied housing units,18820,+/- 371,96.1
  5 to 9 years,2655,+/- 405,5.4,"  $10,000 to $14,999",215,+/- 83,1.1,    With own children under 18 years,5075,+/- 515,27,    Owner-occupied,11402,+/- 494,60.6
  10 to 14 years,2422,+/- 368,4.9,"  $15,000 to $24,999",1272,+/- 290,6.8,    Married-couple families,8534,+/- 448,45.3,    Renter-occupied,7418,+/- 516,39.4
  15 to 19 years,2344,+/- 394,4.8,"  $25,000 to $34,999",1320,+/- 270,7,      With own children under 18 years,3361,+/- 390,17.9,    Average household size of owner-occupied unit,2.67,+/- 0.18,
  20 to 24 years,3028,+/- 563,6.2,"  $35,000 to $49,999",2185,+/- 360,11.6,"    Male householder, no wife present",917,+/- 225,4.9,    Average household size of renter-occupied unit,2.49,+/- 0.28,
  25 to 34 years,11249,+/- 911,22.9,"  $50,000 to $74,999",3603,+/- 427,19.1,      With own children under 18 years,445,+/- 159,2.4,  Vacant housing units,757,+/- 267,3.9
  35 to 44 years,8453,+/- 699,17.2,"  $75,000 to $99,999",3052,+/- 464,16.2,"    Female householder, no husband present",2080,+/- 361,11.1,    For sale,117,+/- 104,15.5
  45 to 54 years,6262,+/- 562,12.7,"  $100,000 to $149,999",4032,+/- 429,21.4,      With own children under 18 years,1269,+/- 297,6.7,    For rent,347,+/- 174,45.8
  55 to 59 years,2691,+/- 387,5.5,"  $150,000 to $199,999",1272,+/- 242,6.8,  Nonfamily households,7289,+/- 478,38.7,"    For seasonal, recreational, or occasional use",91,+/- 83,12
  60 to 64 years,2355,+/- 347,4.8,"  $200,000 or more",970,+/- 251,5.2,    Householder living alone,4943,+/- 3539,67.8,Total owner units,11519,+/- 505,
  65 to 74 years,2724,+/- 350,5.5,  With earnings,16780,+/- 491,89.2,      65 years and over living alone,1147,+/- 826,15.7,Homeowner vacancy rate,1,+/- 1,
  75 to 84 years,1015,+/- 235,2.1,  With social security,2774,+/- 249,14.7,  Households with one or more people under 18 years,5588,+/- 460,29.7,Total rental units,7765,+/- 545,
  85 years and over,333,+/- 122,0.7,  With retirement income,2565,+/- 305,13.6,  Households with one or more people 65 years and over,2921,+/- 263,15.5,Rental vacancy rate,4.5,+/- 1,
Median age in years,33.9,+/- 0.9,,  With supplemental security income,505,+/- 180,2.7,Average household size,2.6,+/- 0.07,,People living in owned homes,30408,+/- 1627,61.9
  5 years and over,-,,,  With cash public assistance income,207,+/- 87,1.1,Average family size,3.11,+/- 0.09,,People living in rental homes,18481,+/- 1596,37.6
  15 years and over,40454,+/- 1228,82.3,  With food stamp benefits in the past 12 months,887,+/- 207,4.7,S2. PERSONS BY HOUSEHOLD TYPE / GROUP QUARTERS,,,,H2. UNITS IN STRUCTURE,,,
  Under 18 years of age,10342,+/- 836,21,Median household income,74176,+/- 4170,,Universe: Total population,,,,Universe: Housing units,,,
  18 years and over,38800,+/- 1569,79,Mean household income,86175,+/- 3454,,Total population,49142,+/- 1591,,Total housing units,19577,+/- 300,
  21 years and over,37629,+/- 1540,76.6,Mean household earnings,85329,+/- 3426,,  Household population,48889,+/- 1585,99.5,  Single-family units,14327,+/- 442,73.2
  25 years and over,35082,+/- 1448,71.4,Mean household social security income,18244,+/- 771,,    Living in family households,37260,+/- 1745,76.2,"    Single unit, detached",13581,+/- 411,94.8
  62 years and over,5296,+/- 488,10.8,Mean household retirement income,27916,+/- 3847,,    Living in nonfamily households,11629,+/- 1114,23.8,"    Single unit, attached",746,+/- 162,5.2
  65 years and over,4072,+/- 376,8.3,Mean household supplemental security income,8985,+/- 1065,,      Living alone,4943,+/- 3539,67.8,  Duplexes,550,+/- 181,2.8
D2. AGE AND SEX,,,,Mean household cash public assistance income,5153,+/- 2688,,  Living in group quarters,253,+/- 116,0.5,  3 or 4 units,832,+/- 204,4.2
Universe: Total population,,,,E2. FAMILY INCOME AND BENEFITS,,,,S3. RELATIONSHIP,,,,  5 to 9 units,704,+/- 256,3.6
Total population,49142,+/- 1591,,Universe: Family households,,,,Universe: Household population,,,,  10 to 19 units,1099,+/- 284,5.6
  Male,24525,+/- 1113,49.9,Family households,11531,+/- 542,61.3,Household population,48889,+/- 1585,99.5,  20 or more units,1819,+/- 338,9.3
    18 years old and over,18858,+/- 921,76.9,"  Less than $10,000",244,+/- 118,2.1,  Householder,18820,+/- 723,38.5,  Mobile home,230,+/- 116,1.2
    65 years old and over,1914,+/- 300,7.8,"  $10,000 to $14,999",98,+/- 67,0.8,  Spouse,8603,+/- 456,17.6,"  Boat, RV, van, etc.",16,+/- 28,0.1
  Female,24617,+/- 929,50.1,"  $15,000 to $24,999",638,+/- 214,5.5,  Child,12663,+/- 857,25.9,  Mobile homes per 1000 HUs,12,+/- 10,
    18 years old and over,19942,+/- 697,81,"  $25,000 to $34,999",815,+/- 237,7.1,  Other relatives,3069,+/- 616,6.3,H3. YEAR STRUCTURE BUILT,,,
    65 years old and over,2158,+/- 319,8.8,"  $35,000 to $49,999",1235,+/- 278,10.7,  Nonrelatives,5734,+/- 931,11.7,Universe: Housing units,,,
D3. RACE,,,,"  $50,000 to $74,999",1898,+/- 311,16.5,  Unmarried partner,1717,+/- 325,3.5,Total housing units,19577,+/- 300,
Universe: Total population,,,,"  $75,000 to $99,999",2021,+/- 404,17.5,  Unmarried-partner HHs per 1000,91,+/- 20,,  Built 2010 or later,2640,+/- 350,13.5
Total population,49142,+/- 1591,,"  $100,000 to $149,999",2911,+/- 347,25.2,S4. MARITAL STATUS,,,,  Built 2000 to 2009,6843,+/- 445,35
  One race,47104,+/- 2089,95.9,"  $150,000 to $199,999",931,+/- 209,8.1,Universe: Population 15 years and over,,,,  Built 1990 to 1999,4135,+/- 426,21.1
    White alone,40617,+/- 1836,82.7,"  $200,000 or more",740,+/- 201,6.4,Persons 15 years and over,40454,+/- 1228,,  Built 1980 to 1989,4332,+/- 325,22.1
    Black or African American,3015,+/- 666,6.1,Median family income,85422,+/- 6777,,  Never married,15155,+/- 1083,37.5,  Built 1970 to 1979,1130,+/- 192,5.8
    American Indian and Alaska Native,145,+/- 112,0.3,Mean family income,95853,+/- 4197,,"  Now married, except separated",18445,+/- 721,45.6,  Built 1960 to 1969,184,+/- 84,0.9
    Asian,2295,+/- 638,4.7,E3. OTHER INCOME MEASURES,,,,  Separated,623,+/- 216,1.5,  Built 1950 to 1959,237,+/- 105,1.2
    Native Hawaiian and Other Pacific Islander,6,+/- 9,,Universe: Various,,,,  Widowed,1259,+/- 291,3.1,  Built 1940 to 1949,42,+/- 40,0.2
    Some other race,1026,+/- 360,2.1,Per-capita income,34595,+/- 1380,,"  Divorced, and not currently married",4972,+/- 496,12.3,  Built 1939 or earlier,34,+/- 40,0.2
  Two or more races,2038,+/- 495,4.1,Nonfamily households,7289,+/- 478,38.7,S5. FERTILITY,,,,H4. YEAR HOUSEHOLDER MOVED INTO UNIT,,,
