"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78736 (86000US78736),,,,ZCTA5 78736 (86000US78736),,,,ZCTA5 78736 (86000US78736),,,,ZCTA5 78736 (86000US78736),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78736,,,Subject,ZCTA5 78736,,,Subject,ZCTA5 78736,,,Subject,ZCTA5 78736,,
,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct
D1. AGE,,,,E1. HOUSEHOLD INCOME AND BENEFITS,,,,S1. HOUSEHOLDS BY TYPE,,,,H1. HOUSING OCCUPANCY AND TENURE,,,
Universe: Total population,,,,Universe: Total households,,,,Universe: Total households,,,,Universe: Housing units,,,
Total population,8199,+/- 645,,Total households,3023,+/- 220,,Total households,3023,+/- 220,,Total housing units,3306,+/- 213,
  Under 5 years,448,+/- 158,5.5,"  Less than $10,000",16,+/- 26,0.5,  Family households,2193,+/- 221,72.5,  Occupied housing units,3023,+/- 220,91.4
  5 to 9 years,633,+/- 215,7.7,"  $10,000 to $14,999",17,+/- 29,0.6,    With own children under 18 years,958,+/- 176,31.7,    Owner-occupied,2472,+/- 227,81.8
  10 to 14 years,446,+/- 138,5.4,"  $15,000 to $24,999",92,+/- 68,3,    Married-couple families,2034,+/- 214,67.3,    Renter-occupied,551,+/- 143,18.2
  15 to 19 years,398,+/- 166,4.9,"  $25,000 to $34,999",127,+/- 92,4.2,      With own children under 18 years,891,+/- 161,29.5,    Average household size of owner-occupied unit,2.79,+/- 0.38,
  20 to 24 years,261,+/- 130,3.2,"  $35,000 to $49,999",203,+/- 98,6.7,"    Male householder, no wife present",62,+/- 54,2.1,    Average household size of renter-occupied unit,2.14,+/- 0.82,
  25 to 34 years,1090,+/- 243,13.3,"  $50,000 to $74,999",533,+/- 180,17.6,      With own children under 18 years,19,+/- 17,0.6,  Vacant housing units,283,+/- 164,8.6
  35 to 44 years,1186,+/- 218,14.5,"  $75,000 to $99,999",423,+/- 146,14,"    Female householder, no husband present",97,+/- 85,3.2,    For sale,-,,
  45 to 54 years,1176,+/- 254,14.3,"  $100,000 to $149,999",807,+/- 196,26.7,      With own children under 18 years,48,+/- 69,1.6,    For rent,-,,
  55 to 59 years,815,+/- 241,9.9,"  $150,000 to $199,999",323,+/- 116,10.7,  Nonfamily households,830,+/- 182,27.5,"    For seasonal, recreational, or occasional use",63,+/- 75,22.3
  60 to 64 years,687,+/- 199,8.4,"  $200,000 or more",482,+/- 147,15.9,    Householder living alone,578,+/- 409,69.6,Total owner units,2472,+/- 228,
  65 to 74 years,580,+/- 147,7.1,  With earnings,2591,+/- 226,85.7,      65 years and over living alone,202,+/- 144,24.3,Homeowner vacancy rate,-,,
  75 to 84 years,291,+/- 110,3.5,  With social security,641,+/- 132,21.2,  Households with one or more people under 18 years,982,+/- 158,32.5,Total rental units,551,+/- 144,
  85 years and over,188,+/- 99,2.3,  With retirement income,576,+/- 127,19.1,  Households with one or more people 65 years and over,689,+/- 130,22.8,Rental vacancy rate,-,,
Median age in years,42.9,+/- 1.6,,  With supplemental security income,43,+/- 56,1.4,Average household size,2.67,+/- 0.09,,People living in owned homes,6900,+/- 693,84.2
  5 years and over,-,,,  With cash public assistance income,10,+/- 19,0.3,Average family size,3.11,+/- 0.08,,People living in rental homes,1178,+/- 331,14.4
  15 years and over,6672,+/- 538,81.4,  With food stamp benefits in the past 12 months,66,+/- 58,2.2,S2. PERSONS BY HOUSEHOLD TYPE / GROUP QUARTERS,,,,H2. UNITS IN STRUCTURE,,,
  Under 18 years of age,1783,+/- 333,21.7,Median household income,107467,+/- 12163,,Universe: Total population,,,,Universe: Housing units,,,
  18 years and over,6416,+/- 580,78.3,Mean household income,134565,+/- 14685,,Total population,8199,+/- 645,,Total housing units,3306,+/- 213,
  21 years and over,6260,+/- 574,76.4,Mean household earnings,134478,+/- 16480,,  Household population,8078,+/- 642,98.5,  Single-family units,2763,+/- 213,83.6
  25 years and over,6013,+/- 559,73.3,Mean household social security income,21521,+/- 2859,,    Living in family households,6940,+/- 694,85.9,"    Single unit, detached",2663,+/- 205,96.4
  62 years and over,1439,+/- 261,17.6,Mean household retirement income,33954,+/- 6602,,    Living in nonfamily households,1138,+/- 284,14.1,"    Single unit, attached",100,+/- 56,3.6
  65 years and over,1059,+/- 222,12.9,Mean household supplemental security income,8253,,,      Living alone,578,+/- 409,69.6,  Duplexes,16,+/- 26,0.5
D2. AGE AND SEX,,,,Mean household cash public assistance income,-,,,  Living in group quarters,121,+/- 126,1.5,  3 or 4 units,17,+/- 27,0.5
Universe: Total population,,,,E2. FAMILY INCOME AND BENEFITS,,,,S3. RELATIONSHIP,,,,  5 to 9 units,61,+/- 53,1.8
Total population,8199,+/- 645,,Universe: Family households,,,,Universe: Household population,,,,  10 to 19 units,61,+/- 65,1.8
  Male,3800,+/- 378,46.3,Family households,2193,+/- 221,72.5,Household population,8078,+/- 642,98.5,  20 or more units,233,+/- 105,7
    18 years old and over,3042,+/- 305,80.1,"  Less than $10,000",16,+/- 26,0.7,  Householder,3023,+/- 286,37.4,  Mobile home,155,+/- 103,4.7
    65 years old and over,494,+/- 141,13,"  $10,000 to $14,999",-,,,  Spouse,2038,+/- 222,25.2,"  Boat, RV, van, etc.",-,,
  Female,4399,+/- 408,53.7,"  $15,000 to $24,999",38,+/- 50,1.7,  Child,2386,+/- 327,29.5,  Mobile homes per 1000 HUs,47,+/- 30,
    18 years old and over,3374,+/- 332,76.7,"  $25,000 to $34,999",95,+/- 83,4.3,  Other relatives,212,+/- 121,2.6,H3. YEAR STRUCTURE BUILT,,,
    65 years old and over,565,+/- 154,12.8,"  $35,000 to $49,999",137,+/- 73,6.2,  Nonrelatives,419,+/- 185,5.2,Universe: Housing units,,,
D3. RACE,,,,"  $50,000 to $74,999",258,+/- 120,11.8,  Unmarried partner,215,+/- 120,2.7,Total housing units,3306,+/- 213,
Universe: Total population,,,,"  $75,000 to $99,999",314,+/- 133,14.3,  Unmarried-partner HHs per 1000,71,+/- 40,,  Built 2010 or later,436,+/- 179,13.2
Total population,8199,+/- 645,,"  $100,000 to $149,999",694,+/- 186,31.6,S4. MARITAL STATUS,,,,  Built 2000 to 2009,590,+/- 134,17.8
  One race,7970,+/- 735,97.2,"  $150,000 to $199,999",307,+/- 116,14,Universe: Population 15 years and over,,,,  Built 1990 to 1999,422,+/- 130,12.8
    White alone,7515,+/- 700,91.7,"  $200,000 or more",334,+/- 124,15.2,Persons 15 years and over,6672,+/- 538,,  Built 1980 to 1989,760,+/- 186,23
    Black or African American,37,+/- 44,0.5,Median family income,120121,+/- 13300,,  Never married,1214,+/- 267,18.2,  Built 1970 to 1979,834,+/- 176,25.2
    American Indian and Alaska Native,56,+/- 73,0.7,Mean family income,145737,+/- 19170,,"  Now married, except separated",4181,+/- 323,62.7,  Built 1960 to 1969,98,+/- 82,3
    Asian,338,+/- 205,4.1,E3. OTHER INCOME MEASURES,,,,  Separated,28,+/- 47,0.4,  Built 1950 to 1959,34,+/- 37,1
    Native Hawaiian and Other Pacific Islander,6,+/- 13,0.1,Universe: Various,,,,  Widowed,304,+/- 123,4.6,  Built 1940 to 1949,58,+/- 73,1.8
    Some other race,18,+/- 29,0.2,Per-capita income,50611,+/- 5852,,"  Divorced, and not currently married",945,+/- 253,14.2,  Built 1939 or earlier,74,+/- 77,2.2
  Two or more races,229,+/- 156,2.8,Nonfamily households,830,+/- 182,27.5,S5. FERTILITY,,,,H4. YEAR HOUSEHOLDER MOVED INTO UNIT,,,
  White (alone or in combination),7721,+/- 679,94.2,  Median nonfamily income,72583,+/- 15519,,Universe: Women 15 to 50 years old who gave birth in the past 12 months,,,,Universe: Occupied housing units,,,
  Black (alone or in combination),153,+/- 143,1.9,  Mean nonfamily income,103122,+/- 24777,,Women 15 to 50 years old,2021,+/- 295,,Occupied housing units,3023,+/- 220,
