"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78724 (86000US78724),,,,ZCTA5 78724 (86000US78724),,,,ZCTA5 78724 (86000US78724),,,,ZCTA5 78724 (86000US78724),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78724,,,Subject,ZCTA5 78724,,,Subject,ZCTA5 78724,,,Subject,ZCTA5 78724,,
,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct
D1. AGE,,,,E1. HOUSEHOLD INCOME AND BENEFITS,,,,S1. HOUSEHOLDS BY TYPE,,,,H1. HOUSING OCCUPANCY AND TENURE,,,
Universe: Total population,,,,Universe: Total households,,,,Universe: Total households,,,,Universe: Housing units,,,
Total population,24833,+/- 1561,,Total households,6360,+/- 312,,Total households,6360,+/- 312,,Total housing units,6754,+/- 258,
  Under 5 years,2511,+/- 436,10.1,"  Less than $10,000",432,+/- 157,6.8,  Family households,5071,+/- 312,79.7,  Occupied housing units,6360,+/- 312,94.2
  5 to 9 years,2537,+/- 410,10.2,"  $10,000 to $14,999",350,+/- 162,5.5,    With own children under 18 years,3194,+/- 387,50.2,    Owner-occupied,3847,+/- 355,60.5
  10 to 14 years,2400,+/- 381,9.7,"  $15,000 to $24,999",665,+/- 203,10.5,    Married-couple families,2988,+/- 307,47,    Renter-occupied,2513,+/- 275,39.5
  15 to 19 years,2314,+/- 366,9.3,"  $25,000 to $34,999",877,+/- 211,13.8,      With own children under 18 years,1927,+/- 268,30.3,    Average household size of owner-occupied unit,3.59,+/- 0.55,
  20 to 24 years,1605,+/- 305,6.5,"  $35,000 to $49,999",1381,+/- 305,21.7,"    Male householder, no wife present",381,+/- 129,6,    Average household size of renter-occupied unit,4,+/- 0.66,
  25 to 34 years,4243,+/- 458,17.1,"  $50,000 to $74,999",1192,+/- 223,18.7,      With own children under 18 years,164,+/- 85,2.6,  Vacant housing units,394,+/- 189,5.8
  35 to 44 years,4279,+/- 530,17.2,"  $75,000 to $99,999",651,+/- 141,10.2,"    Female householder, no husband present",1702,+/- 302,26.8,    For sale,-,,
  45 to 54 years,2351,+/- 382,9.5,"  $100,000 to $149,999",634,+/- 181,10,      With own children under 18 years,1103,+/- 266,17.3,    For rent,161,+/- 131,40.9
  55 to 59 years,812,+/- 187,3.3,"  $150,000 to $199,999",118,+/- 75,1.9,  Nonfamily households,1289,+/- 206,20.3,"    For seasonal, recreational, or occasional use",70,+/- 76,17.8
  60 to 64 years,692,+/- 182,2.8,"  $200,000 or more",60,+/- 63,0.9,    Householder living alone,890,+/- 641,69,Total owner units,3847,+/- 356,
  65 to 74 years,674,+/- 151,2.7,  With earnings,5751,+/- 315,90.4,      65 years and over living alone,221,+/- 158,17.1,Homeowner vacancy rate,-,,
  75 to 84 years,376,+/- 120,1.5,  With social security,865,+/- 121,13.6,  Households with one or more people under 18 years,3708,+/- 339,58.3,Total rental units,2674,+/- 305,
  85 years and over,39,+/- 31,0.2,  With retirement income,609,+/- 146,9.6,  Households with one or more people 65 years and over,798,+/- 147,12.5,Rental vacancy rate,6,+/- 1,
Median age in years,28.4,+/- 1.2,,  With supplemental security income,270,+/- 95,4.2,Average household size,3.75,+/- 0.16,,People living in owned homes,13813,+/- 1687,55.6
  5 years and over,-,,,  With cash public assistance income,70,+/- 64,1.1,Average family size,4.15,+/- 0.3,,People living in rental homes,10057,+/- 1242,40.5
  15 years and over,17385,+/- 1116,70,  With food stamp benefits in the past 12 months,1541,+/- 256,24.2,S2. PERSONS BY HOUSEHOLD TYPE / GROUP QUARTERS,,,,H2. UNITS IN STRUCTURE,,,
  Under 18 years of age,9093,+/- 780,36.6,Median household income,45158,+/- 3292,,Universe: Total population,,,,Universe: Housing units,,,
  18 years and over,15740,+/- 930,63.4,Mean household income,55252,+/- 5298,,Total population,24833,+/- 1561,,Total housing units,6754,+/- 258,
  21 years and over,14712,+/- 903,59.2,Mean household earnings,53948,+/- 5476,,  Household population,23870,+/- 1535,96.1,  Single-family units,3890,+/- 297,57.6
  25 years and over,13466,+/- 862,54.2,Mean household social security income,13637,+/- 1801,,    Living in family households,21980,+/- 1607,92.1,"    Single unit, detached",3789,+/- 294,97.4
  62 years and over,1556,+/- 244,6.3,Mean household retirement income,22654,+/- 3308,,    Living in nonfamily households,1890,+/- 384,7.9,"    Single unit, attached",101,+/- 45,2.6
  65 years and over,1089,+/- 209,4.4,Mean household supplemental security income,9341,+/- 1734,,      Living alone,890,+/- 641,69,  Duplexes,243,+/- 129,3.6
D2. AGE AND SEX,,,,Mean household cash public assistance income,3727,+/- 1592,,  Living in group quarters,963,+/- 189,3.9,  3 or 4 units,311,+/- 140,4.6
Universe: Total population,,,,E2. FAMILY INCOME AND BENEFITS,,,,S3. RELATIONSHIP,,,,  5 to 9 units,61,+/- 74,0.9
Total population,24833,+/- 1561,,Universe: Family households,,,,Universe: Household population,,,,  10 to 19 units,402,+/- 142,6
  Male,12578,+/- 953,50.7,Family households,5071,+/- 312,79.7,Household population,23870,+/- 1535,96.1,  20 or more units,191,+/- 123,2.8
    18 years old and over,7962,+/- 684,63.3,"  Less than $10,000",449,+/- 180,8.9,  Householder,6360,+/- 374,26.6,  Mobile home,1656,+/- 257,24.5
    65 years old and over,501,+/- 130,4,"  $10,000 to $14,999",268,+/- 148,5.3,  Spouse,2955,+/- 314,12.4,"  Boat, RV, van, etc.",-,,
  Female,12255,+/- 934,49.3,"  $15,000 to $24,999",537,+/- 193,10.6,  Child,9788,+/- 915,41,  Mobile homes per 1000 HUs,245,+/- 40,
    18 years old and over,7778,+/- 558,63.5,"  $25,000 to $34,999",676,+/- 183,13.3,  Other relatives,3240,+/- 674,13.6,H3. YEAR STRUCTURE BUILT,,,
    65 years old and over,588,+/- 147,4.8,"  $35,000 to $49,999",1142,+/- 294,22.5,  Nonrelatives,1527,+/- 368,6.4,Universe: Housing units,,,
D3. RACE,,,,"  $50,000 to $74,999",834,+/- 196,16.4,  Unmarried partner,577,+/- 200,2.4,Total housing units,6754,+/- 258,
Universe: Total population,,,,"  $75,000 to $99,999",456,+/- 132,9,  Unmarried-partner HHs per 1000,91,+/- 30,,  Built 2010 or later,626,+/- 149,9.3
Total population,24833,+/- 1561,,"  $100,000 to $149,999",563,+/- 173,11.1,S4. MARITAL STATUS,,,,  Built 2000 to 2009,2452,+/- 257,36.3
  One race,23988,+/- 2034,96.6,"  $150,000 to $199,999",86,+/- 64,1.7,Universe: Population 15 years and over,,,,  Built 1990 to 1999,970,+/- 222,14.4
    White alone,14320,+/- 1504,57.7,"  $200,000 or more",60,+/- 63,1.2,Persons 15 years and over,17385,+/- 1116,,  Built 1980 to 1989,1231,+/- 249,18.2
    Black or African American,5317,+/- 904,21.4,Median family income,42307,+/- 3769,,  Never married,7153,+/- 712,41.1,  Built 1970 to 1979,1053,+/- 201,15.6
    American Indian and Alaska Native,339,+/- 186,1.4,Mean family income,54740,+/- 6114,,"  Now married, except separated",7379,+/- 554,42.4,  Built 1960 to 1969,235,+/- 95,3.5
    Asian,63,+/- 53,0.3,E3. OTHER INCOME MEASURES,,,,  Separated,484,+/- 184,2.8,  Built 1950 to 1959,92,+/- 82,1.4
    Native Hawaiian and Other Pacific Islander,12,+/- 29,,Universe: Various,,,,  Widowed,450,+/- 137,2.6,  Built 1940 to 1949,70,+/- 66,1
    Some other race,3937,+/- 1009,15.9,Per-capita income,15450,+/- 1513,,"  Divorced, and not currently married",1919,+/- 347,11,  Built 1939 or earlier,25,+/- 28,0.4
  Two or more races,845,+/- 446,3.4,Nonfamily households,1289,+/- 206,20.3,S5. FERTILITY,,,,H4. YEAR HOUSEHOLDER MOVED INTO UNIT,,,
  White (alone or in combination),14850,+/- 1540,59.8,  Median nonfamily income,36458,+/- 6944,,Universe: Women 15 to 50 years old who gave birth in the past 12 months,,,,Universe: Occupied housing units,,,
