"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78725 (86000US78725),,,,ZCTA5 78725 (86000US78725),,,,ZCTA5 78725 (86000US78725),,,,ZCTA5 78725 (86000US78725),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78725,,,Subject,ZCTA5 78725,,,Subject,ZCTA5 78725,,,Subject,ZCTA5 78725,,
,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct
D1. AGE,,,,E1. HOUSEHOLD INCOME AND BENEFITS,,,,S1. HOUSEHOLDS BY TYPE,,,,H1. HOUSING OCCUPANCY AND TENURE,,,
Universe: Total population,,,,Universe: Total households,,,,Universe: Total households,,,,Universe: Housing units,,,
Total population,7517,+/- 1240,,Total households,2544,+/- 218,,Total households,2544,+/- 218,,Total housing units,2598,+/- 210,
  Under 5 years,444,+/- 233,5.9,"  Less than $10,000",91,+/- 81,3.6,  Family households,1709,+/- 254,67.2,  Occupied housing units,2544,+/- 218,97.9
  5 to 9 years,632,+/- 257,8.4,"  $10,000 to $14,999",33,+/- 42,1.3,    With own children under 18 years,744,+/- 253,29.2,    Owner-occupied,2033,+/- 256,79.9
  10 to 14 years,567,+/- 242,7.5,"  $15,000 to $24,999",241,+/- 141,9.5,    Married-couple families,1143,+/- 254,44.9,    Renter-occupied,511,+/- 185,20.1
  15 to 19 years,439,+/- 214,5.8,"  $25,000 to $34,999",216,+/- 136,8.5,      With own children under 18 years,447,+/- 196,17.6,    Average household size of owner-occupied unit,2.76,+/- 0.62,
  20 to 24 years,322,+/- 176,4.3,"  $35,000 to $49,999",412,+/- 161,16.2,"    Male householder, no wife present",141,+/- 85,5.5,    Average household size of renter-occupied unit,3.69,+/- 2.23,
  25 to 34 years,1306,+/- 372,17.4,"  $50,000 to $74,999",725,+/- 196,28.5,      With own children under 18 years,106,+/- 78,4.2,  Vacant housing units,54,+/- 61,2.1
  35 to 44 years,1404,+/- 350,18.7,"  $75,000 to $99,999",420,+/- 159,16.5,"    Female householder, no husband present",425,+/- 187,16.7,    For sale,-,,
  45 to 54 years,1088,+/- 276,14.5,"  $100,000 to $149,999",279,+/- 137,11,      With own children under 18 years,191,+/- 140,7.5,    For rent,30,+/- 49,55.6
  55 to 59 years,548,+/- 231,7.3,"  $150,000 to $199,999",119,+/- 83,4.7,  Nonfamily households,835,+/- 208,32.8,"    For seasonal, recreational, or occasional use",-,,
  60 to 64 years,331,+/- 154,4.4,"  $200,000 or more",8,+/- 12,0.3,    Householder living alone,648,+/- 463,77.6,Total owner units,2033,+/- 257,
  65 to 74 years,297,+/- 106,4,  With earnings,2327,+/- 232,91.5,      65 years and over living alone,110,+/- 81,13.2,Homeowner vacancy rate,-,,
  75 to 84 years,135,+/- 95,1.8,  With social security,495,+/- 146,19.5,  Households with one or more people under 18 years,914,+/- 246,35.9,Total rental units,541,+/- 191,
  85 years and over,4,+/- 22,0.1,  With retirement income,349,+/- 145,13.7,  Households with one or more people 65 years and over,379,+/- 114,14.9,Rental vacancy rate,5.5,+/- 1,
Median age in years,35.2,+/- 3.2,,  With supplemental security income,35,+/- 52,1.4,Average household size,2.95,+/- 0.42,,People living in owned homes,5620,+/- 1051,74.8
  5 years and over,-,,,  With cash public assistance income,67,+/- 60,2.6,Average family size,3.53,+/- 0.6,,People living in rental homes,1884,+/- 911,25.1
  15 years and over,5874,+/- 773,78.1,  With food stamp benefits in the past 12 months,281,+/- 162,11,S2. PERSONS BY HOUSEHOLD TYPE / GROUP QUARTERS,,,,H2. UNITS IN STRUCTURE,,,
  Under 18 years of age,1928,+/- 458,25.6,Median household income,62172,+/- 8383,,Universe: Total population,,,,Universe: Housing units,,,
  18 years and over,5589,+/- 693,74.4,Mean household income,66225,+/- 7175,,Total population,7517,+/- 1240,,Total housing units,2598,+/- 210,
  21 years and over,5426,+/- 682,72.2,Mean household earnings,63395,+/- 6937,,  Household population,7504,+/- 1242,99.8,  Single-family units,2394,+/- 247,92.1
  25 years and over,5113,+/- 660,68,Mean household social security income,15705,+/- 2915,,    Living in family households,6328,+/- 1393,84.3,"    Single unit, detached",2363,+/- 243,98.7
  62 years and over,618,+/- 179,8.2,Mean household retirement income,15820,+/- 4341,,    Living in nonfamily households,1176,+/- 433,15.7,"    Single unit, attached",31,+/- 46,1.3
  65 years and over,436,+/- 121,5.8,Mean household supplemental security income,-,,,      Living alone,648,+/- 463,77.6,  Duplexes,45,+/- 55,1.7
D2. AGE AND SEX,,,,Mean household cash public assistance income,549,+/- 605,,  Living in group quarters,13,+/- 26,0.2,  3 or 4 units,8,+/- 13,0.3
Universe: Total population,,,,E2. FAMILY INCOME AND BENEFITS,,,,S3. RELATIONSHIP,,,,  5 to 9 units,-,,
Total population,7517,+/- 1240,,Universe: Family households,,,,Universe: Household population,,,,  10 to 19 units,-,,
  Male,4044,+/- 722,53.8,Family households,1709,+/- 254,67.2,Household population,7504,+/- 1242,99.8,  20 or more units,-,,
    18 years old and over,3046,+/- 480,75.3,"  Less than $10,000",46,+/- 68,2.7,  Householder,2544,+/- 328,33.9,  Mobile home,151,+/- 110,5.8
    65 years old and over,171,+/- 90,4.2,"  $10,000 to $14,999",78,+/- 81,4.6,  Spouse,1131,+/- 256,15.1,"  Boat, RV, van, etc.",-,,
  Female,3473,+/- 651,46.2,"  $15,000 to $24,999",219,+/- 134,12.8,  Child,2461,+/- 624,32.8,  Mobile homes per 1000 HUs,58,+/- 40,
    18 years old and over,2543,+/- 388,73.2,"  $25,000 to $34,999",216,+/- 136,12.6,  Other relatives,729,+/- 444,9.7,H3. YEAR STRUCTURE BUILT,,,
    65 years old and over,265,+/- 112,7.6,"  $35,000 to $49,999",163,+/- 102,9.5,  Nonrelatives,639,+/- 354,8.5,Universe: Housing units,,,
D3. RACE,,,,"  $50,000 to $74,999",387,+/- 132,22.6,  Unmarried partner,134,+/- 89,1.8,Total housing units,2598,+/- 210,
Universe: Total population,,,,"  $75,000 to $99,999",305,+/- 154,17.8,  Unmarried-partner HHs per 1000,53,+/- 40,,  Built 2010 or later,447,+/- 159,17.2
Total population,7517,+/- 1240,,"  $100,000 to $149,999",191,+/- 107,11.2,S4. MARITAL STATUS,,,,  Built 2000 to 2009,1083,+/- 225,41.7
  One race,7266,+/- 1414,96.7,"  $150,000 to $199,999",104,+/- 82,6.1,Universe: Population 15 years and over,,,,  Built 1990 to 1999,312,+/- 156,12
    White alone,4111,+/- 1019,54.7,"  $200,000 or more",-,,,Persons 15 years and over,5874,+/- 773,,  Built 1980 to 1989,381,+/- 151,14.7
    Black or African American,1831,+/- 544,24.4,Median family income,60266,+/- 8868,,  Never married,1921,+/- 410,32.7,  Built 1970 to 1979,182,+/- 97,7
    American Indian and Alaska Native,-,,,Mean family income,65192,+/- 7468,,"  Now married, except separated",2809,+/- 463,47.8,  Built 1960 to 1969,33,+/- 35,1.3
    Asian,88,+/- 61,1.2,E3. OTHER INCOME MEASURES,,,,  Separated,78,+/- 69,1.3,  Built 1950 to 1959,102,+/- 78,3.9
    Native Hawaiian and Other Pacific Islander,-,,,Universe: Various,,,,  Widowed,130,+/- 74,2.2,  Built 1940 to 1949,58,+/- 65,2.2
    Some other race,1236,+/- 812,16.4,Per-capita income,23671,+/- 3568,,"  Divorced, and not currently married",936,+/- 329,15.9,  Built 1939 or earlier,-,,
  Two or more races,251,+/- 193,3.3,Nonfamily households,835,+/- 208,32.8,S5. FERTILITY,,,,H4. YEAR HOUSEHOLDER MOVED INTO UNIT,,,
  White (alone or in combination),4201,+/- 1016,55.9,  Median nonfamily income,56319,+/- 14858,,Universe: Women 15 to 50 years old who gave birth in the past 12 months,,,,Universe: Occupied housing units,,,
  Black (alone or in combination),2023,+/- 566,26.9,  Mean nonfamily income,62051,+/- 11520,,Women 15 to 50 years old,1751,+/- 362,,Occupied housing units,2544,+/- 218,
