"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78751 (86000US78751),,,,ZCTA5 78751 (86000US78751),,,,ZCTA5 78751 (86000US78751),,,,ZCTA5 78751 (86000US78751),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78751,,,Subject,ZCTA5 78751,,,Subject,ZCTA5 78751,,,Subject,ZCTA5 78751,,
,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct
D1. AGE,,,,E1. HOUSEHOLD INCOME AND BENEFITS,,,,S1. HOUSEHOLDS BY TYPE,,,,H1. HOUSING OCCUPANCY AND TENURE,,,
Universe: Total population,,,,Universe: Total households,,,,Universe: Total households,,,,Universe: Housing units,,,
Total population,14949,+/- 819,,Total households,7463,+/- 287,,Total households,7463,+/- 287,,Total housing units,8632,+/- 267,
  Under 5 years,628,+/- 162,4.2,"  Less than $10,000",659,+/- 166,8.8,  Family households,2194,+/- 215,29.4,  Occupied housing units,7463,+/- 287,86.5
  5 to 9 years,338,+/- 102,2.3,"  $10,000 to $14,999",246,+/- 110,3.3,    With own children under 18 years,824,+/- 137,11,    Owner-occupied,2229,+/- 220,29.9
  10 to 14 years,350,+/- 124,2.3,"  $15,000 to $24,999",654,+/- 155,8.8,    Married-couple families,1770,+/- 220,23.7,    Renter-occupied,5234,+/- 298,70.1
  15 to 19 years,260,+/- 92,1.7,"  $25,000 to $34,999",860,+/- 186,11.5,      With own children under 18 years,681,+/- 117,9.1,    Average household size of owner-occupied unit,2.42,+/- 0.39,
  20 to 24 years,2445,+/- 440,16.4,"  $35,000 to $49,999",1032,+/- 188,13.8,"    Male householder, no wife present",192,+/- 91,2.6,    Average household size of renter-occupied unit,1.82,+/- 0.16,
  25 to 34 years,5569,+/- 507,37.3,"  $50,000 to $74,999",1349,+/- 240,18.1,      With own children under 18 years,54,+/- 53,0.7,  Vacant housing units,1169,+/- 245,13.5
  35 to 44 years,2114,+/- 277,14.1,"  $75,000 to $99,999",684,+/- 144,9.2,"    Female householder, no husband present",232,+/- 90,3.1,    For sale,74,+/- 68,6.3
  45 to 54 years,1513,+/- 262,10.1,"  $100,000 to $149,999",973,+/- 210,13,      With own children under 18 years,89,+/- 49,1.2,    For rent,586,+/- 192,50.1
  55 to 59 years,416,+/- 115,2.8,"  $150,000 to $199,999",460,+/- 152,6.2,  Nonfamily households,5269,+/- 351,70.6,"    For seasonal, recreational, or occasional use",108,+/- 77,9.2
  60 to 64 years,467,+/- 131,3.1,"  $200,000 or more",546,+/- 123,7.3,    Householder living alone,3546,+/- 2528,67.3,Total owner units,2303,+/- 230,
  65 to 74 years,647,+/- 142,4.3,  With earnings,6707,+/- 311,89.9,      65 years and over living alone,313,+/- 225,5.9,Homeowner vacancy rate,3.2,+/- 3,
  75 to 84 years,140,+/- 77,0.9,  With social security,695,+/- 125,9.3,  Households with one or more people under 18 years,842,+/- 118,11.3,Total rental units,5820,+/- 355,
  85 years and over,62,+/- 36,0.4,  With retirement income,456,+/- 113,6.1,  Households with one or more people 65 years and over,653,+/- 117,8.7,Rental vacancy rate,10.1,+/- 3,
Median age in years,29.5,+/- 0.7,,  With supplemental security income,135,+/- 81,1.8,Average household size,2,+/- 0.08,,People living in owned homes,5390,+/- 682,36.1
  5 years and over,-,,,  With cash public assistance income,24,+/- 23,0.3,Average family size,2.76,+/- 0.19,,People living in rental homes,9545,+/- 638,63.9
  15 years and over,13633,+/- 787,91.2,  With food stamp benefits in the past 12 months,147,+/- 80,2,S2. PERSONS BY HOUSEHOLD TYPE / GROUP QUARTERS,,,,H2. UNITS IN STRUCTURE,,,
  Under 18 years of age,1426,+/- 233,9.5,Median household income,54129,+/- 3308,,Universe: Total population,,,,Universe: Housing units,,,
  18 years and over,13523,+/- 812,90.5,Mean household income,79620,+/- 6021,,Total population,14949,+/- 819,,Total housing units,8632,+/- 267,
  21 years and over,12965,+/- 781,86.7,Mean household earnings,78411,+/- 5149,,  Household population,14935,+/- 820,99.9,  Single-family units,4047,+/- 296,46.9
  25 years and over,10928,+/- 678,73.1,Mean household social security income,17105,+/- 1559,,    Living in family households,6521,+/- 678,43.7,"    Single unit, detached",3712,+/- 274,91.7
  62 years and over,1138,+/- 195,7.6,Mean household retirement income,51851,+/- 35696,,    Living in nonfamily households,8414,+/- 773,56.3,"    Single unit, attached",335,+/- 111,8.3
  65 years and over,849,+/- 178,5.7,Mean household supplemental security income,6069,+/- 899,,      Living alone,3546,+/- 2528,67.3,  Duplexes,551,+/- 172,6.4
D2. AGE AND SEX,,,,Mean household cash public assistance income,1117,+/- 362,,  Living in group quarters,14,+/- 6,0.1,  3 or 4 units,268,+/- 100,3.1
Universe: Total population,,,,E2. FAMILY INCOME AND BENEFITS,,,,S3. RELATIONSHIP,,,,  5 to 9 units,307,+/- 117,3.6
Total population,14949,+/- 819,,Universe: Family households,,,,Universe: Household population,,,,  10 to 19 units,954,+/- 215,11.1
  Male,7781,+/- 605,52.1,Family households,2194,+/- 215,29.4,Household population,14935,+/- 820,99.9,  20 or more units,2469,+/- 273,28.6
    18 years old and over,7139,+/- 601,91.7,"  Less than $10,000",62,+/- 52,2.8,  Householder,7463,+/- 412,50,  Mobile home,36,+/- 33,0.4
    65 years old and over,512,+/- 126,6.6,"  $10,000 to $14,999",33,+/- 31,1.5,  Spouse,1772,+/- 219,11.9,"  Boat, RV, van, etc.",-,,
  Female,7168,+/- 512,47.9,"  $15,000 to $24,999",99,+/- 71,4.5,  Child,1635,+/- 221,10.9,  Mobile homes per 1000 HUs,4,,
    18 years old and over,6384,+/- 478,89.1,"  $25,000 to $34,999",83,+/- 60,3.8,  Other relatives,456,+/- 183,3.1,H3. YEAR STRUCTURE BUILT,,,
    65 years old and over,337,+/- 107,4.7,"  $35,000 to $49,999",144,+/- 72,6.6,  Nonrelatives,3609,+/- 681,24.2,Universe: Housing units,,,
D3. RACE,,,,"  $50,000 to $74,999",309,+/- 93,14.1,  Unmarried partner,748,+/- 186,5,Total housing units,8632,+/- 267,
Universe: Total population,,,,"  $75,000 to $99,999",404,+/- 111,18.4,  Unmarried-partner HHs per 1000,100,+/- 30,,  Built 2010 or later,435,+/- 126,5
Total population,14949,+/- 819,,"  $100,000 to $149,999",463,+/- 123,21.1,S4. MARITAL STATUS,,,,  Built 2000 to 2009,747,+/- 155,8.7
  One race,14492,+/- 839,96.9,"  $150,000 to $199,999",309,+/- 114,14.1,Universe: Population 15 years and over,,,,  Built 1990 to 1999,350,+/- 104,4.1
    White alone,12373,+/- 731,82.8,"  $200,000 or more",288,+/- 84,13.1,Persons 15 years and over,13633,+/- 787,,  Built 1980 to 1989,1006,+/- 200,11.7
    Black or African American,373,+/- 171,2.5,Median family income,96587,+/- 8624,,  Never married,8466,+/- 761,62.1,  Built 1970 to 1979,1153,+/- 247,13.4
    American Indian and Alaska Native,102,+/- 69,0.7,Mean family income,120976,+/- 13727,,"  Now married, except separated",3757,+/- 333,27.6,  Built 1960 to 1969,1133,+/- 226,13.1
    Asian,998,+/- 280,6.7,E3. OTHER INCOME MEASURES,,,,  Separated,85,+/- 54,0.6,  Built 1950 to 1959,1035,+/- 231,12
    Native Hawaiian and Other Pacific Islander,17,+/- 29,0.1,Universe: Various,,,,  Widowed,223,+/- 94,1.6,  Built 1940 to 1949,1349,+/- 188,15.6
    Some other race,629,+/- 237,4.2,Per-capita income,42009,+/- 3113,,"  Divorced, and not currently married",1102,+/- 227,8.1,  Built 1939 or earlier,1424,+/- 225,16.5
  Two or more races,457,+/- 172,3.1,Nonfamily households,5269,+/- 351,70.6,S5. FERTILITY,,,,H4. YEAR HOUSEHOLDER MOVED INTO UNIT,,,
  White (alone or in combination),12813,+/- 733,85.7,  Median nonfamily income,40687,+/- 3644,,Universe: Women 15 to 50 years old who gave birth in the past 12 months,,,,Universe: Occupied housing units,,,
